symbol,strategy,timeFrame,signalDate,entryPrice,rsiDaily,rsiWeekly,rsiMonthly,volume,pattern,return5D,return10D,return20D,return40D,maxDrawdown,maxGain,outcome
SMLMAH,RSITTF,D,2023-09-14,1202.10,41.82,64.71,74.75,16289,,-2.25,-1.84,1.88,11.10,-3.61,31.30,Win
VOLTAMP,RSITTF,D,2023-09-14,5013.45,44.27,68.64,83.09,19192,,-1.77,-10.46,-10.64,4.44,-15.99,8.23,Win
JISLDVREQS,RSITTF,D,2023-09-20,30.40,41.72,63.30,76.83,2130,,5.43,4.61,7.89,14.64,-8.39,25.33,Win
HCC,RSITTF,D,2023-09-20,19.87,44.64,62.72,74.85,20122589,,12.58,12.78,16.05,27.98,-4.28,30.60,Loss
SIRCA,RSITTF,D,2023-09-21,394.00,43.91,62.45,75.27,58373,,-3.48,-1.70,-5.58,-5.08,-11.40,1.27,Loss
JAICORPLTD,RSITTF,D,2023-09-21,207.35,44.78,63.45,71.16,2250538,,2.97,14.03,58.23,52.81,-1.90,79.31,Loss
3MINDIA,RSITTF,D,2023-09-21,29913.05,44.27,63.43,71.42,2308,,3.18,4.14,0.62,2.73,-3.49,9.94,Win
BLS,RSITTF,D,2023-09-22,264.85,44.80,65.32,83.38,1476895,,-5.57,-9.01,-7.17,-0.02,-13.23,9.38,Loss
RATEGAIN,RSITTF,D,2023-09-22,539.55,42.27,63.97,70.53,318603,,9.99,10.24,9.95,32.80,0.00,35.85,Win
SUPREMEIND,RSITTF,D,2023-09-22,4107.45,44.17,66.00,85.21,183993,,0.34,-2.33,5.22,0.41,-6.85,19.00,Win
ESABINDIA,RSITTF,D,2023-09-25,5057.50,44.23,61.46,76.68,2499,,-2.14,-1.77,9.51,21.80,-4.86,30.22,Loss
SAKAR,RSITTF,D,2023-09-26,320.45,44.88,61.41,74.37,13644,,5.48,7.27,3.01,24.37,-2.42,30.91,Loss
HINDCON,RSITTF,D,2023-09-26,24.72,41.61,60.70,73.75,13314,,5.30,4.89,4.21,41.18,-5.54,60.19,Win
JWL,RSITTF,D,2023-09-26,302.80,44.57,68.29,90.96,3768297,,5.12,3.02,-2.64,7.88,-11.89,19.90,Win
HINDCOMPOS,RSITTF,D,2023-09-26,412.00,44.53,60.99,65.84,17247,,0.49,-0.24,-4.42,16.02,-6.32,19.04,Loss
63MOONS,RSITTF,D,2023-09-27,287.65,43.98,62.92,72.86,94842,,-5.79,-13.42,-9.35,47.85,-16.90,88.20,Loss
WALCHANNAG,RSITTF,D,2023-09-27,111.80,44.05,60.28,71.08,21015,,10.24,36.54,44.54,69.95,0.00,77.95,Win
CERA,RSITTF,D,2023-09-28,8496.00,43.46,62.89,79.54,12308,,-3.76,3.93,0.52,-1.98,-6.12,8.90,Win
NSLNISP,RSITTF,D,2023-09-29,51.45,44.38,64.06,91.15,3182393,,0.29,1.36,-21.96,-15.94,-23.91,4.28,Loss
PTC,RSITTF,D,2023-09-29,132.75,44.24,63.09,67.49,672310,,0.72,2.11,5.80,18.12,-5.39,28.63,Loss
CERA,RSITTF,D,2023-09-29,8521.10,44.39,61.30,79.54,13410,,-4.00,5.63,-0.25,-1.30,-6.40,8.58,Win
TEXRAIL,RSITTF,D,2023-10-04,126.85,44.31,67.94,74.35,1595918,,-0.24,6.23,-2.48,11.82,-12.73,26.13,Win
MOGSEC,RSITTF,D,2023-10-10,52.63,44.27,70.42,82.83,42602,,0.36,0.44,1.08,1.75,-0.21,4.41,Win
KOTARISUG,RSITTF,D,2023-10-10,53.60,44.70,62.78,68.87,82781,,-1.31,-5.04,0.75,-2.80,-11.38,14.46,Loss
HMAAGRO,RSITTF,D,2023-10-10,71.79,43.96,67.93,100.00,182079,,0.86,-4.97,-2.59,-11.13,-14.61,8.68,Loss
GILT5YBEES,RSITTF,D,2023-10-10,52.86,44.05,70.46,71.67,402376,,0.38,0.47,1.12,1.65,-2.57,2.35,Win
VASWANI,RSITTF,D,2023-10-10,26.55,44.93,60.44,69.83,50037,,-0.19,-9.60,-3.20,-9.23,-15.07,6.59,Win
EBBETF0430,RSITTF,D,2023-10-12,1294.80,43.48,70.84,83.12,5253,,0.19,0.39,0.75,1.31,-2.82,4.82,Neutral
MMP,RSITTF,D,2023-10-17,221.20,42.35,62.69,70.58,12041,,-1.54,-2.94,-5.97,-4.57,-17.45,10.31,Win
CHALET,RSITTF,D,2023-10-25,559.70,44.56,72.96,89.83,157133,,-0.22,3.64,4.02,16.06,-4.08,28.32,Loss
TARIL,RSITTF,D,2023-10-25,74.95,42.53,68.96,83.22,1392070,,7.47,18.92,32.53,26.06,-5.27,65.42,Win
TRIVENI,RSITTF,D,2023-10-25,358.65,43.04,75.75,74.23,1663989,,-1.48,2.37,1.14,-5.46,-8.27,11.78,Win
IOB,RSITTF,D,2023-10-25,38.90,42.75,65.38,76.90,117566812,,0.51,2.19,1.03,12.08,-5.78,22.11,Loss
COROMANDEL,RSITTF,D,2023-10-25,1118.15,44.12,66.39,74.91,216057,,-6.66,-0.80,0.49,7.58,-8.86,13.72,Loss
CENTRALBK,RSITTF,D,2023-10-25,43.30,41.34,70.79,78.41,41386855,,-0.35,3.58,2.42,13.63,-5.66,22.40,Win
KSB,RSITTF,D,2023-10-26,575.25,44.16,72.09,82.02,236140,,5.84,6.51,15.08,20.64,0.00,23.42,Win
UJJIVANSFB,RSITTF,D,2023-10-26,53.30,44.67,78.22,82.62,22534007,,-0.47,6.94,2.63,8.26,-5.53,18.20,Win
RESPONIND,RSITTF,D,2023-10-26,299.45,40.07,74.18,80.38,115214,,9.70,8.13,8.55,2.57,-0.77,20.14,Win
ESCORTS,RSITTF,D,2023-10-26,3133.55,44.29,74.85,79.12,364803,,-2.51,-1.23,2.83,-5.32,-6.67,5.09,Win
HONDAPOWER,RSITTF,D,2023-10-26,2751.05,44.60,63.11,69.20,17807,,6.97,1.75,-9.17,-13.67,-16.40,9.29,Win
WILLAMAGOR,RSITTF,D,2023-10-26,24.00,42.73,68.14,86.30,11668,,9.17,28.75,30.42,44.17,-1.67,105.83,Win
SAFARI,RSITTF,D,2023-10-26,1945.28,42.57,79.15,90.10,243702,,4.10,7.24,14.76,6.06,-3.27,19.01,Win
CYIENTDLM,RSITTF,D,2023-10-26,643.15,42.96,72.85,100.00,295771,,-0.27,-0.41,0.80,3.70,-4.80,8.19,Win
PRECWIRE,RSITTF,D,2023-10-26,113.25,39.03,65.15,82.78,610343,,5.43,-2.34,2.96,8.17,-2.87,18.76,Win
SBGLP,RSITTF,D,2023-10-26,33.92,40.08,80.42,87.58,184869,,24.50,29.60,38.38,59.49,0.00,81.31,Win
CENTRALBK,RSITTF,D,2023-10-26,43.85,43.23,70.79,78.41,43148324,,0.34,0.91,1.14,11.06,-2.39,20.87,Win
PGHH,RSITTF,D,2023-10-27,17016.75,44.69,63.56,71.79,15845,,2.80,4.67,5.22,1.01,-2.30,13.12,Loss
SESHAPAPER,RSITTF,D,2023-10-27,352.10,44.54,60.24,72.85,77362,,-1.16,-5.96,-7.11,0.62,-8.22,5.89,Loss
NDRAUTO,RSITTF,D,2023-10-27,285.00,44.23,61.83,84.73,2376,,23.12,31.58,28.07,35.45,0.00,53.51,Win
LT,RSITTF,D,2023-10-27,2901.90,41.19,65.83,80.92,2399538,,0.32,4.53,5.25,20.27,-1.58,22.68,Win
DPABHUSHAN,RSITTF,D,2023-10-27,542.65,42.19,63.30,76.13,21104,,11.67,16.23,4.67,15.19,-0.49,29.36,Win
CYIENTDLM,RSITTF,D,2023-10-27,648.80,44.73,64.43,100.00,211387,,-1.80,-2.32,0.79,3.06,-5.63,7.24,Loss
ICICIB22,RSITTF,D,2023-10-27,73.65,44.45,66.61,86.53,226888,,1.15,4.39,6.15,21.82,-2.85,25.87,Win
